date,admin2,market,category,commodity,pricetype,price
#date,#adm2+name,#loc+market+name,#item+type,#item+name,#item+price+type,#value
2006-01-15,Mombasa,Mombasa,cereals and tubers,Maize,Wholesale,16.13
2006-01-15,Mombasa,Mombasa,cereals and tubers,Maize (white),Wholesale,1480.0
2006-01-15,Mombasa,Mombasa,pulses and nuts,Beans,Wholesale,33.63
2006-01-15,Mombasa,Mombasa,pulses and nuts,Beans (dry),Wholesale,3246.0
2006-01-15,Kitui,Kitui,cereals and tubers,Maize (white),Retail,17.0
2006-01-15,Kitui,Kitui,cereals and tubers,Potatoes (Irish),Wholesale,1249.99
2006-01-15,Kitui,Kitui,cereals and tubers,Sorghum,Wholesale,1800.0
2006-01-15,Kitui,Kitui,pulses and nuts,Beans (dry),Retail,39.0
2006-01-15,Marsabit,Marsabit,cereals and tubers,Maize (white),Retail,21.0
2006-01-15,Nairobi,Nairobi,cereals and tubers,Bread,Retail,26.0
2006-01-15,Nairobi,Nairobi,cereals and tubers,Maize,Wholesale,15.48
2006-01-15,Nairobi,Nairobi,cereals and tubers,Maize (white),Wholesale,1399.0
2006-01-15,Nairobi,Nairobi,cereals and tubers,Potatoes (Irish),Wholesale,664.43
2006-01-15,Nairobi,Nairobi,cereals and tubers,Sorghum,Wholesale,1960.0
2006-01-15,Nairobi,Nairobi,milk and dairy,"Milk (cow, pasteurized)",Retail,22.0
2006-01-15,Nairobi,Nairobi,oil and fats,Oil (vegetable),Retail,115.0
2006-01-15,Nairobi,Nairobi,pulses and nuts,Beans,Wholesale,42.31
2006-01-15,Nairobi,Nairobi,pulses and nuts,Beans (dry),Wholesale,3175.0
2006-01-15,Mandera,Mandera,cereals and tubers,Maize (white),Retail,30.0
2006-01-15,Kisumu,Kisumu,cereals and tubers,Maize,Wholesale,14.84
2006-01-15,Kisumu,Kisumu,cereals and tubers,Maize (white),Wholesale,1320.0
2006-01-15,Kisumu,Kisumu,cereals and tubers,Potatoes (Irish),Wholesale,1074.07
2006-01-15,Kisumu,Kisumu,cereals and tubers,Sorghum,Wholesale,1600.0
2006-01-15,Kisumu,Kisumu,pulses and nuts,Beans,Wholesale,39.61
2006-01-15,Kisumu,Kisumu,pulses and nuts,Beans (dry),Wholesale,4000.0
2006-01-15,Turkana,Lodwar (Turkana),cereals and tubers,Maize (white),Retail,26.0
2006-01-15,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize,Wholesale,12.96
2006-01-15,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize (white),Wholesale,1192.0
2006-01-15,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans,Wholesale,45.85
2006-01-15,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans (dry),Wholesale,2799.0
2006-02-15,Mombasa,Mombasa,cereals and tubers,Maize,Wholesale,16.41
2006-02-15,Mombasa,Mombasa,cereals and tubers,Maize (white),Wholesale,1523.0
2006-02-15,Mombasa,Mombasa,pulses and nuts,Beans,Wholesale,39.48
2006-02-15,Mombasa,Mombasa,pulses and nuts,Beans (dry),Wholesale,3400.0
2006-02-15,Kitui,Kitui,cereals and tubers,Maize (white),Retail,18.0
2006-02-15,Kitui,Kitui,cereals and tubers,Potatoes (Irish),Wholesale,1555.55
2006-02-15,Kitui,Kitui,cereals and tubers,Sorghum,Wholesale,2000.0
2006-02-15,Kitui,Kitui,pulses and nuts,Beans (dry),Retail,42.0
2006-02-15,Marsabit,Marsabit,cereals and tubers,Maize (white),Retail,22.0
2006-02-15,Nairobi,Nairobi,cereals and tubers,Bread,Retail,26.0
2006-02-15,Nairobi,Nairobi,cereals and tubers,Maize,Wholesale,16.41
2006-02-15,Nairobi,Nairobi,cereals and tubers,Maize (white),Wholesale,1488.0
2006-02-15,Nairobi,Nairobi,cereals and tubers,Potatoes (Irish),Wholesale,694.44
2006-02-15,Nairobi,Nairobi,cereals and tubers,Sorghum,Wholesale,2260.0
2006-02-15,Nairobi,Nairobi,milk and dairy,"Milk (cow, pasteurized)",Retail,25.0
2006-02-15,Nairobi,Nairobi,oil and fats,Oil (vegetable),Retail,120.0
2006-02-15,Nairobi,Nairobi,pulses and nuts,Beans,Wholesale,47.1
2006-02-15,Nairobi,Nairobi,pulses and nuts,Beans (dry),Wholesale,3485.0
2006-02-15,Mandera,Mandera,cereals and tubers,Maize (white),Retail,29.0
2006-02-15,Kisumu,Kisumu,cereals and tubers,Maize,Wholesale,17.83
2006-02-15,Kisumu,Kisumu,cereals and tubers,Maize (white),Wholesale,1456.0
2006-02-15,Kisumu,Kisumu,cereals and tubers,Potatoes (Irish),Wholesale,1184.99
2006-02-15,Kisumu,Kisumu,cereals and tubers,Sorghum,Wholesale,1600.0
2006-02-15,Kisumu,Kisumu,pulses and nuts,Beans,Wholesale,42.79
2006-02-15,Kisumu,Kisumu,pulses and nuts,Beans (dry),Wholesale,4000.0
2006-02-15,Turkana,Lodwar (Turkana),cereals and tubers,Maize (white),Retail,28.0
2006-02-15,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize,Wholesale,13.12
2006-02-15,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize (white),Wholesale,1304.0
2006-02-15,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Potatoes (Irish),Wholesale,1038.33
2006-02-15,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Sorghum,Wholesale,1504.0
2006-02-15,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans,Wholesale,44.02
2006-02-15,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans (dry),Wholesale,3150.0
2006-03-15,Mombasa,Mombasa,cereals and tubers,Maize,Wholesale,16.98
2006-03-15,Mombasa,Mombasa,cereals and tubers,Maize (white),Wholesale,1476.0
2006-03-15,Mombasa,Mombasa,pulses and nuts,Beans,Wholesale,44.69
2006-03-15,Mombasa,Mombasa,pulses and nuts,Beans (dry),Wholesale,3958.75
2006-03-15,Kitui,Kitui,cereals and tubers,Maize (white),Retail,18.0
2006-03-15,Kitui,Kitui,cereals and tubers,Potatoes (Irish),Wholesale,1722.21
2006-03-15,Kitui,Kitui,cereals and tubers,Sorghum,Wholesale,2000.0
2006-03-15,Kitui,Kitui,pulses and nuts,Beans (dry),Retail,47.0
2006-03-15,Marsabit,Marsabit,cereals and tubers,Maize (white),Retail,22.0
2006-03-15,Nairobi,Nairobi,cereals and tubers,Bread,Retail,26.0
2006-03-15,Nairobi,Nairobi,cereals and tubers,Maize,Wholesale,16.91
2006-03-15,Nairobi,Nairobi,cereals and tubers,Maize (white),Wholesale,1500.0
2006-03-15,Nairobi,Nairobi,cereals and tubers,Potatoes (Irish),Wholesale,961.11
2006-03-15,Nairobi,Nairobi,cereals and tubers,Sorghum,Wholesale,2250.0
2006-03-15,Nairobi,Nairobi,milk and dairy,"Milk (cow, pasteurized)",Retail,25.0
2006-03-15,Nairobi,Nairobi,oil and fats,Oil (vegetable),Retail,108.0
2006-03-15,Nairobi,Nairobi,pulses and nuts,Beans,Wholesale,42.31
2006-03-15,Nairobi,Nairobi,pulses and nuts,Beans (dry),Wholesale,3760.0
2006-03-15,Mandera,Mandera,cereals and tubers,Maize (white),Retail,27.0
2006-03-15,Kisumu,Kisumu,cereals and tubers,Maize,Wholesale,14.75
2006-03-15,Kisumu,Kisumu,cereals and tubers,Maize (white),Wholesale,1554.55
2006-03-15,Kisumu,Kisumu,cereals and tubers,Potatoes (Irish),Wholesale,1872.91
2006-03-15,Kisumu,Kisumu,cereals and tubers,Sorghum,Wholesale,1595.0
2006-03-15,Kisumu,Kisumu,pulses and nuts,Beans,Wholesale,54.52
2006-03-15,Kisumu,Kisumu,pulses and nuts,Beans (dry),Wholesale,4515.0
2006-03-15,Turkana,Lodwar (Turkana),cereals and tubers,Maize (white),Retail,27.0
2006-03-15,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize,Wholesale,13.31
2006-03-15,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize (white),Wholesale,1162.22
2006-03-15,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Potatoes (Irish),Wholesale,875.97
2006-03-15,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Sorghum,Wholesale,1115.75
2006-03-15,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans,Wholesale,50.54
2006-03-15,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans (dry),Wholesale,3305.0
2006-04-15,Mombasa,Mombasa,cereals and tubers,Maize,Wholesale,17.17
2006-04-15,Mombasa,Mombasa,cereals and tubers,Maize (white),Wholesale,1595.0
2006-04-15,Mombasa,Mombasa,pulses and nuts,Beans,Wholesale,43.84
2006-04-15,Mombasa,Mombasa,pulses and nuts,Beans (dry),Wholesale,3995.0
2006-04-15,Kitui,Kitui,cereals and tubers,Maize (white),Retail,19.0
2006-04-15,Kitui,Kitui,cereals and tubers,Potatoes (Irish),Wholesale,1555.55
2006-04-15,Kitui,Kitui,cereals and tubers,Sorghum,Wholesale,2000.0
2006-04-15,Kitui,Kitui,pulses and nuts,Beans (dry),Retail,53.0
2006-04-15,Marsabit,Marsabit,cereals and tubers,Maize (white),Retail,24.0
2006-04-15,Nairobi,Nairobi,cereals and tubers,Bread,Retail,26.0
2006-04-15,Nairobi,Nairobi,cereals and tubers,Maize,Wholesale,17.02
2006-04-15,Nairobi,Nairobi,cereals and tubers,Maize (white),Wholesale,1540.0
2006-04-15,Nairobi,Nairobi,cereals and tubers,Potatoes (Irish),Wholesale,1388.88
2006-04-15,Nairobi,Nairobi,cereals and tubers,Sorghum,Wholesale,2310.0
2006-04-15,Nairobi,Nairobi,milk and dairy,"Milk (cow, pasteurized)",Retail,25.0
2006-04-15,Nairobi,Nairobi,oil and fats,Oil (vegetable),Retail,110.0
2006-04-15,Nairobi,Nairobi,pulses and nuts,Beans,Wholesale,47.1
2006-04-15,Nairobi,Nairobi,pulses and nuts,Beans (dry),Wholesale,4310.0
2006-04-15,Mandera,Mandera,cereals and tubers,Maize (white),Retail,28.0
2006-04-15,Kisumu,Kisumu,cereals and tubers,Maize,Wholesale,16.6
2006-04-15,Kisumu,Kisumu,cereals and tubers,Maize (white),Wholesale,1520.0
2006-04-15,Kisumu,Kisumu,cereals and tubers,Potatoes (Irish),Wholesale,1911.11
2006-04-15,Kisumu,Kisumu,cereals and tubers,Sorghum,Wholesale,1600.0
2006-04-15,Kisumu,Kisumu,pulses and nuts,Beans,Wholesale,50.15
2006-04-15,Kisumu,Kisumu,pulses and nuts,Beans (dry),Wholesale,4640.0
2006-04-15,Turkana,Lodwar (Turkana),cereals and tubers,Maize (white),Retail,30.0
2006-04-15,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize,Wholesale,14.19
2006-04-15,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize (white),Wholesale,1277.0
2006-04-15,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Potatoes (Irish),Wholesale,796.1
2006-04-15,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Sorghum,Wholesale,1035.0
2006-04-15,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans,Wholesale,48.6
2006-04-15,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans (dry),Wholesale,3060.0
2006-05-15,Mombasa,Mombasa,cereals and tubers,Maize,Wholesale,19.12
2006-05-15,Mombasa,Mombasa,cereals and tubers,Maize (white),Wholesale,1739.47
2006-05-15,Mombasa,Mombasa,pulses and nuts,Beans,Wholesale,39.73
2006-05-15,Mombasa,Mombasa,pulses and nuts,Beans (dry),Wholesale,3978.95
2006-05-15,Kitui,Kitui,cereals and tubers,Maize (white),Retail,22.0
2006-05-15,Kitui,Kitui,pulses and nuts,Beans (dry),Retail,51.0
2006-05-15,Marsabit,Marsabit,cereals and tubers,Maize (white),Retail,22.0
2006-05-15,Nairobi,Nairobi,cereals and tubers,Bread,Retail,26.0
2006-05-15,Nairobi,Nairobi,cereals and tubers,Maize,Wholesale,17.71
2006-05-15,Nairobi,Nairobi,cereals and tubers,Maize (white),Wholesale,1624.76
2006-05-15,Nairobi,Nairobi,cereals and tubers,Potatoes (Irish),Wholesale,1624.99
2006-05-15,Nairobi,Nairobi,cereals and tubers,Sorghum,Wholesale,2014.29
2006-05-15,Nairobi,Nairobi,milk and dairy,"Milk (cow, pasteurized)",Retail,25.0
2006-05-15,Nairobi,Nairobi,oil and fats,Oil (vegetable),Retail,120.0
2006-05-15,Nairobi,Nairobi,pulses and nuts,Beans,Wholesale,49.72
2006-05-15,Nairobi,Nairobi,pulses and nuts,Beans (dry),Wholesale,4505.0
2006-05-15,Mandera,Mandera,cereals and tubers,Maize (white),Retail,25.0
2006-05-15,Kisumu,Kisumu,cereals and tubers,Maize,Wholesale,18.77
2006-05-15,Kisumu,Kisumu,cereals and tubers,Maize (white),Wholesale,1720.0
2006-05-15,Kisumu,Kisumu,cereals and tubers,Potatoes (Irish),Wholesale,1111.1
2006-05-15,Kisumu,Kisumu,cereals and tubers,Sorghum,Wholesale,1400.0
2006-05-15,Kisumu,Kisumu,pulses and nuts,Beans,Wholesale,48.09
2006-05-15,Kisumu,Kisumu,pulses and nuts,Beans (dry),Wholesale,4543.0
2006-05-15,Turkana,Lodwar (Turkana),cereals and tubers,Maize (white),Retail,26.0
2006-05-15,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize,Wholesale,15.58
2006-05-15,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize (white),Wholesale,1445.26
2006-05-15,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Potatoes (Irish),Wholesale,690.05
2006-05-15,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Sorghum,Wholesale,1031.58
2006-05-15,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans,Wholesale,53.6
2006-05-15,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans (dry),Wholesale,3311.0
2006-06-15,Mombasa,Mombasa,cereals and tubers,Maize,Wholesale,20.1
2006-06-15,Mombasa,Mombasa,cereals and tubers,Maize (white),Wholesale,1814.75
2006-06-15,Mombasa,Mombasa,pulses and nuts,Beans,Wholesale,28.23
2006-06-15,Mombasa,Mombasa,pulses and nuts,Beans (dry),Wholesale,2706.25
2006-06-15,Kitui,Kitui,cereals and tubers,Maize (white),Retail,22.0
2006-06-15,Kitui,Kitui,pulses and nuts,Beans (dry),Retail,53.0
2006-06-15,Marsabit,Marsabit,cereals and tubers,Maize (white),Retail,20.0
2006-06-15,Nairobi,Nairobi,cereals and tubers,Bread,Retail,26.0
2006-06-15,Nairobi,Nairobi,cereals and tubers,Maize,Wholesale,16.96
2006-06-15,Nairobi,Nairobi,cereals and tubers,Maize (white),Wholesale,1550.91
2006-06-15,Nairobi,Nairobi,cereals and tubers,Potatoes (Irish),Wholesale,861.1
2006-06-15,Nairobi,Nairobi,cereals and tubers,Sorghum,Wholesale,1978.07
2006-06-15,Nairobi,Nairobi,milk and dairy,"Milk (cow, pasteurized)",Retail,22.0
2006-06-15,Nairobi,Nairobi,oil and fats,Oil (vegetable),Retail,120.0
2006-06-15,Nairobi,Nairobi,pulses and nuts,Beans,Wholesale,33.07
2006-06-15,Nairobi,Nairobi,pulses and nuts,Beans (dry),Wholesale,3017.0
2006-06-15,Mandera,Mandera,cereals and tubers,Maize (white),Retail,22.0
2006-06-15,Kisumu,Kisumu,cereals and tubers,Maize,Wholesale,19.3
2006-06-15,Kisumu,Kisumu,cereals and tubers,Maize (white),Wholesale,1714.0
2006-06-15,Kisumu,Kisumu,cereals and tubers,Potatoes (Irish),Wholesale,586.11
2006-06-15,Kisumu,Kisumu,cereals and tubers,Sorghum,Wholesale,1220.0
2006-06-15,Kisumu,Kisumu,pulses and nuts,Beans,Wholesale,38.51
2006-06-15,Kisumu,Kisumu,pulses and nuts,Beans (dry),Wholesale,3340.0
2006-06-15,Turkana,Lodwar (Turkana),cereals and tubers,Maize (white),Retail,27.0
2006-06-15,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize,Wholesale,17.03
2006-06-15,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize (white),Wholesale,1549.0
2006-06-15,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Potatoes (Irish),Wholesale,450.61
2006-06-15,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Sorghum,Wholesale,1322.22
2006-06-15,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans,Wholesale,46.06
2006-06-15,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans (dry),Wholesale,2978.0
2006-07-15,Mombasa,Mombasa,cereals and tubers,Maize,Wholesale,19.92
2006-07-15,Mombasa,Mombasa,cereals and tubers,Maize (white),Wholesale,1695.0
2006-07-15,Mombasa,Mombasa,pulses and nuts,Beans,Wholesale,30.15
2006-07-15,Mombasa,Mombasa,pulses and nuts,Beans (dry),Wholesale,2750.0
2006-07-15,Kitui,Kitui,cereals and tubers,Maize (white),Retail,22.0
2006-07-15,Kitui,Kitui,pulses and nuts,Beans (dry),Retail,51.0
2006-07-15,Marsabit,Marsabit,cereals and tubers,Maize (white),Retail,21.0
2006-07-15,Nairobi,Nairobi,cereals and tubers,Bread,Retail,26.0
2006-07-15,Nairobi,Nairobi,cereals and tubers,Maize,Wholesale,18.61
2006-07-15,Nairobi,Nairobi,cereals and tubers,Maize (white),Wholesale,1690.67
2006-07-15,Nairobi,Nairobi,cereals and tubers,Potatoes (Irish),Wholesale,662.22
2006-07-15,Nairobi,Nairobi,cereals and tubers,Sorghum,Wholesale,1680.0
2006-07-15,Nairobi,Nairobi,milk and dairy,"Milk (cow, pasteurized)",Retail,22.0
2006-07-15,Nairobi,Nairobi,oil and fats,Oil (vegetable),Retail,115.0
2006-07-15,Nairobi,Nairobi,pulses and nuts,Beans,Wholesale,30.3
2006-07-15,Nairobi,Nairobi,pulses and nuts,Beans (dry),Wholesale,2760.0
2006-07-15,Mandera,Mandera,cereals and tubers,Maize (white),Retail,23.0
2006-07-15,Kisumu,Kisumu,cereals and tubers,Maize,Wholesale,17.26
2006-07-15,Kisumu,Kisumu,cereals and tubers,Maize (white),Wholesale,1533.33
2006-07-15,Kisumu,Kisumu,cereals and tubers,Potatoes (Irish),Wholesale,455.55
2006-07-15,Kisumu,Kisumu,cereals and tubers,Sorghum,Wholesale,1450.0
2006-07-15,Kisumu,Kisumu,pulses and nuts,Beans,Wholesale,34.77
2006-07-15,Kisumu,Kisumu,pulses and nuts,Beans (dry),Wholesale,3200.0
2006-07-15,Turkana,Lodwar (Turkana),cereals and tubers,Maize (white),Retail,26.0
2006-07-15,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize,Wholesale,16.56
2006-07-15,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize (white),Wholesale,1550.0
2006-07-15,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Potatoes (Irish),Wholesale,333.32
2006-07-15,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Sorghum,Wholesale,1000.0
2006-07-15,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans,Wholesale,41.43
2006-07-15,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans (dry),Wholesale,2260.0
2006-08-15,Mombasa,Mombasa,cereals and tubers,Maize,Wholesale,15.31
2006-08-15,Mombasa,Mombasa,cereals and tubers,Maize (white),Wholesale,1131.25
2006-08-15,Mombasa,Mombasa,pulses and nuts,Beans,Wholesale,30.59
2006-08-15,Mombasa,Mombasa,pulses and nuts,Beans (dry),Wholesale,2798.75
2006-08-15,Kitui,Kitui,cereals and tubers,Maize (white),Retail,21.0
2006-08-15,Kitui,Kitui,pulses and nuts,Beans (dry),Retail,42.0
2006-08-15,Marsabit,Marsabit,cereals and tubers,Maize (white),Retail,22.0
2006-08-15,Nairobi,Nairobi,cereals and tubers,Bread,Retail,26.0
2006-08-15,Nairobi,Nairobi,cereals and tubers,Maize,Wholesale,17.5
2006-08-15,Nairobi,Nairobi,cereals and tubers,Maize (white),Wholesale,1585.75
2006-08-15,Nairobi,Nairobi,cereals and tubers,Potatoes (Irish),Wholesale,555.55
2006-08-15,Nairobi,Nairobi,cereals and tubers,Sorghum,Wholesale,1668.75
2006-08-15,Nairobi,Nairobi,milk and dairy,"Milk (cow, pasteurized)",Retail,20.0
2006-08-15,Nairobi,Nairobi,oil and fats,Oil (vegetable),Retail,120.0
2006-08-15,Nairobi,Nairobi,pulses and nuts,Beans,Wholesale,30.59
2006-08-15,Nairobi,Nairobi,pulses and nuts,Beans (dry),Wholesale,2888.0
2006-08-15,Mandera,Mandera,cereals and tubers,Maize (white),Retail,23.0
2006-08-15,Kisumu,Kisumu,cereals and tubers,Maize,Wholesale,15.24
2006-08-15,Kisumu,Kisumu,cereals and tubers,Maize (white),Wholesale,1231.0
2006-08-15,Kisumu,Kisumu,pulses and nuts,Beans,Wholesale,30.12
2006-08-15,Kisumu,Kisumu,pulses and nuts,Beans (dry),Wholesale,2777.0
2006-08-15,Turkana,Lodwar (Turkana),cereals and tubers,Maize (white),Retail,27.0
2006-08-15,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize,Wholesale,17.08
2006-08-15,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize (white),Wholesale,1529.5
2006-08-15,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Potatoes (Irish),Wholesale,468.51
2006-08-15,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Sorghum,Wholesale,925.0
2006-08-15,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans,Wholesale,29.39
2006-08-15,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans (dry),Wholesale,1975.0
2006-09-15,Mombasa,Mombasa,cereals and tubers,Maize,Wholesale,11.77
2006-09-15,Mombasa,Mombasa,cereals and tubers,Maize (white),Wholesale,1075.0
2006-09-15,Mombasa,Mombasa,pulses and nuts,Beans,Wholesale,32.57
2006-09-15,Mombasa,Mombasa,pulses and nuts,Beans (dry),Wholesale,3043.75
2006-09-15,Kitui,Kitui,cereals and tubers,Maize (white),Retail,19.0
2006-09-15,Kitui,Kitui,pulses and nuts,Beans (dry),Retail,42.0
2006-09-15,Marsabit,Marsabit,cereals and tubers,Maize (white),Retail,20.0
2006-09-15,Nairobi,Nairobi,cereals and tubers,Bread,Retail,26.0
2006-09-15,Nairobi,Nairobi,cereals and tubers,Maize,Wholesale,14.8
2006-09-15,Nairobi,Nairobi,cereals and tubers,Maize (white),Wholesale,1278.0
2006-09-15,Nairobi,Nairobi,cereals and tubers,Potatoes (Irish),Wholesale,582.22
2006-09-15,Nairobi,Nairobi,cereals and tubers,Sorghum,Wholesale,1905.0
2006-09-15,Nairobi,Nairobi,milk and dairy,"Milk (cow, pasteurized)",Retail,20.0
2006-09-15,Nairobi,Nairobi,oil and fats,Oil (vegetable),Retail,120.0
2006-09-15,Nairobi,Nairobi,pulses and nuts,Beans,Wholesale,34.75
2006-09-15,Nairobi,Nairobi,pulses and nuts,Beans (dry),Wholesale,3093.0
2006-09-15,Mandera,Mandera,cereals and tubers,Maize (white),Retail,22.0
2006-09-15,Kisumu,Kisumu,cereals and tubers,Maize,Wholesale,13.6
2006-09-15,Kisumu,Kisumu,cereals and tubers,Maize (white),Wholesale,1242.0
2006-09-15,Kisumu,Kisumu,pulses and nuts,Beans,Wholesale,30.74
2006-09-15,Kisumu,Kisumu,pulses and nuts,Beans (dry),Wholesale,2811.0
2006-09-15,Turkana,Lodwar (Turkana),cereals and tubers,Maize (white),Retail,29.0
2006-09-15,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize,Wholesale,12.53
2006-09-15,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize (white),Wholesale,1124.38
2006-09-15,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Potatoes (Irish),Wholesale,336.8
2006-09-15,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Sorghum,Wholesale,967.5
2006-09-15,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans,Wholesale,36.49
2006-09-15,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans (dry),Wholesale,2700.0
2006-10-15,Mombasa,Mombasa,cereals and tubers,Maize,Wholesale,12.49
2006-10-15,Mombasa,Mombasa,cereals and tubers,Maize (white),Wholesale,1133.0
2006-10-15,Mombasa,Mombasa,pulses and nuts,Beans,Wholesale,32.63
2006-10-15,Mombasa,Mombasa,pulses and nuts,Beans (dry),Wholesale,3023.75
2006-10-15,Kitui,Kitui,cereals and tubers,Maize (white),Retail,19.0
2006-10-15,Kitui,Kitui,pulses and nuts,Beans (dry),Retail,44.0
2006-10-15,Marsabit,Marsabit,cereals and tubers,Maize (white),Retail,21.0
2006-10-15,Nairobi,Nairobi,cereals and tubers,Bread,Retail,26.0
2006-10-15,Nairobi,Nairobi,cereals and tubers,Maize,Wholesale,14.34
2006-10-15,Nairobi,Nairobi,cereals and tubers,Maize (white),Wholesale,1293.25
2006-10-15,Nairobi,Nairobi,cereals and tubers,Potatoes (Irish),Wholesale,658.88
2006-10-15,Nairobi,Nairobi,cereals and tubers,Sorghum,Wholesale,2133.33
2006-10-15,Nairobi,Nairobi,milk and dairy,"Milk (cow, pasteurized)",Retail,20.0
2006-10-15,Nairobi,Nairobi,oil and fats,Oil (vegetable),Retail,120.0
2006-10-15,Nairobi,Nairobi,pulses and nuts,Beans,Wholesale,35.8
2006-10-15,Nairobi,Nairobi,pulses and nuts,Beans (dry),Wholesale,3280.0
2006-10-15,Mandera,Mandera,cereals and tubers,Maize (white),Retail,23.0
2006-10-15,Kisumu,Kisumu,cereals and tubers,Maize,Wholesale,13.67
2006-10-15,Kisumu,Kisumu,cereals and tubers,Maize (white),Wholesale,1282.0
2006-10-15,Kisumu,Kisumu,pulses and nuts,Beans,Wholesale,30.94
2006-10-15,Kisumu,Kisumu,pulses and nuts,Beans (dry),Wholesale,2889.0
2006-10-15,Turkana,Lodwar (Turkana),cereals and tubers,Maize (white),Retail,30.0
2006-10-15,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize,Wholesale,11.77
2006-10-15,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize (white),Wholesale,1053.0
2006-10-15,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Potatoes (Irish),Wholesale,621.11
2006-10-15,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Sorghum,Wholesale,1020.0
2006-10-15,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans,Wholesale,38.18
2006-10-15,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans (dry),Wholesale,2400.0
2006-11-15,Mombasa,Mombasa,cereals and tubers,Maize,Wholesale,12.68
2006-11-15,Mombasa,Mombasa,cereals and tubers,Maize (white),Wholesale,1148.0
2006-11-15,Mombasa,Mombasa,pulses and nuts,Beans,Wholesale,29.9
2006-11-15,Mombasa,Mombasa,pulses and nuts,Beans (dry),Wholesale,2774.0
2006-11-15,Kitui,Kitui,cereals and tubers,Maize (white),Retail,19.0
2006-11-15,Kitui,Kitui,pulses and nuts,Beans (dry),Retail,44.0
